index	prediction
0	not_entailment
1	not_entailment
2	entailment
3	entailment
4	not_entailment
5	not_entailment
6	entailment
7	not_entailment
8	entailment
9	not_entailment
10	not_entailment
11	entailment
12	not_entailment
13	entailment
14	entailment
15	entailment
16	entailment
17	entailment
18	entailment
19	not_entailment
20	not_entailment
21	entailment
22	entailment
23	entailment
24	entailment
25	not_entailment
26	not_entailment
27	entailment
28	entailment
29	not_entailment
30	not_entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	not_entailment
36	entailment
37	entailment
38	entailment
39	entailment
40	entailment
41	not_entailment
42	entailment
43	entailment
44	not_entailment
45	entailment
46	entailment
47	entailment
48	entailment
49	not_entailment
50	entailment
51	entailment
52	entailment
53	entailment
54	entailment
55	not_entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	not_entailment
61	not_entailment
62	not_entailment
63	entailment
64	not_entailment
65	not_entailment
66	entailment
67	entailment
68	entailment
69	entailment
70	entailment
71	not_entailment
72	entailment
73	entailment
74	not_entailment
75	entailment
76	not_entailment
77	entailment
78	not_entailment
79	entailment
80	entailment
81	entailment
82	entailment
83	not_entailment
84	entailment
85	not_entailment
86	not_entailment
87	not_entailment
88	not_entailment
89	not_entailment
90	entailment
91	entailment
92	entailment
93	entailment
94	not_entailment
95	not_entailment
96	entailment
97	entailment
98	entailment
99	not_entailment
100	not_entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	not_entailment
106	entailment
107	entailment
108	not_entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	entailment
114	entailment
115	not_entailment
116	entailment
117	entailment
118	entailment
119	not_entailment
120	not_entailment
121	entailment
122	entailment
123	not_entailment
124	entailment
125	entailment
126	entailment
127	entailment
128	not_entailment
129	entailment
130	entailment
131	entailment
132	entailment
133	entailment
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	not_entailment
141	not_entailment
142	entailment
143	entailment
144	not_entailment
145	entailment
146	entailment
147	entailment
148	entailment
149	entailment
150	entailment
151	not_entailment
152	entailment
153	entailment
154	entailment
155	not_entailment
156	not_entailment
157	entailment
158	not_entailment
159	entailment
160	entailment
161	not_entailment
162	entailment
163	entailment
164	entailment
165	entailment
166	entailment
167	not_entailment
168	not_entailment
169	entailment
170	entailment
171	entailment
172	not_entailment
173	entailment
174	not_entailment
175	entailment
176	not_entailment
177	not_entailment
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	entailment
184	entailment
185	entailment
186	not_entailment
187	entailment
188	not_entailment
189	not_entailment
190	entailment
191	entailment
192	not_entailment
193	not_entailment
194	entailment
195	not_entailment
196	entailment
197	not_entailment
198	not_entailment
199	not_entailment
200	not_entailment
201	not_entailment
202	not_entailment
203	entailment
204	entailment
205	not_entailment
206	entailment
207	entailment
208	not_entailment
209	not_entailment
210	entailment
211	not_entailment
212	entailment
213	entailment
214	entailment
215	entailment
216	entailment
217	not_entailment
218	entailment
219	not_entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	entailment
226	entailment
227	entailment
228	not_entailment
229	entailment
230	not_entailment
231	entailment
232	not_entailment
233	entailment
234	entailment
235	not_entailment
236	entailment
237	not_entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	not_entailment
243	entailment
244	entailment
245	entailment
246	entailment
247	entailment
248	not_entailment
249	entailment
250	not_entailment
251	entailment
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	entailment
258	entailment
259	entailment
260	entailment
261	not_entailment
262	not_entailment
263	entailment
264	not_entailment
265	entailment
266	not_entailment
267	entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	not_entailment
273	not_entailment
274	entailment
275	entailment
276	entailment
277	not_entailment
278	not_entailment
279	entailment
280	entailment
281	entailment
282	not_entailment
283	entailment
284	entailment
285	entailment
286	entailment
287	entailment
288	entailment
289	entailment
290	not_entailment
291	entailment
292	entailment
293	entailment
294	entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	not_entailment
301	entailment
302	entailment
303	not_entailment
304	entailment
305	entailment
306	entailment
307	entailment
308	entailment
309	not_entailment
310	entailment
311	entailment
312	entailment
313	not_entailment
314	entailment
315	entailment
316	entailment
317	entailment
318	not_entailment
319	entailment
320	entailment
321	entailment
322	entailment
323	not_entailment
324	not_entailment
325	entailment
326	not_entailment
327	entailment
328	not_entailment
329	entailment
330	entailment
331	not_entailment
332	entailment
333	entailment
334	not_entailment
335	entailment
336	not_entailment
337	not_entailment
338	entailment
339	not_entailment
340	entailment
341	entailment
342	entailment
343	entailment
344	entailment
345	entailment
346	entailment
347	entailment
348	not_entailment
349	entailment
350	entailment
351	not_entailment
352	entailment
353	not_entailment
354	entailment
355	entailment
356	not_entailment
357	entailment
358	not_entailment
359	entailment
360	entailment
361	entailment
362	not_entailment
363	not_entailment
364	entailment
365	entailment
366	entailment
367	not_entailment
368	entailment
369	entailment
370	entailment
371	entailment
372	entailment
373	entailment
374	entailment
375	entailment
376	not_entailment
377	entailment
378	entailment
379	entailment
380	entailment
381	entailment
382	entailment
383	not_entailment
384	entailment
385	entailment
386	entailment
387	entailment
388	entailment
389	not_entailment
390	entailment
391	not_entailment
392	entailment
393	entailment
394	not_entailment
395	entailment
396	entailment
397	entailment
398	not_entailment
399	entailment
400	not_entailment
401	entailment
402	entailment
403	entailment
404	not_entailment
405	entailment
406	entailment
407	not_entailment
408	entailment
409	entailment
410	not_entailment
411	not_entailment
412	entailment
413	entailment
414	not_entailment
415	entailment
416	not_entailment
417	not_entailment
418	not_entailment
419	entailment
420	entailment
421	entailment
422	not_entailment
423	entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	entailment
429	entailment
430	entailment
431	entailment
432	entailment
433	not_entailment
434	entailment
435	entailment
436	not_entailment
437	entailment
438	entailment
439	not_entailment
440	entailment
441	not_entailment
442	entailment
443	entailment
444	not_entailment
445	entailment
446	entailment
447	entailment
448	not_entailment
449	entailment
450	not_entailment
451	not_entailment
452	entailment
453	entailment
454	entailment
455	not_entailment
456	entailment
457	not_entailment
458	entailment
459	entailment
460	entailment
461	entailment
462	not_entailment
463	not_entailment
464	not_entailment
465	entailment
466	entailment
467	entailment
468	entailment
469	not_entailment
470	entailment
471	entailment
472	entailment
473	entailment
474	entailment
475	entailment
476	entailment
477	entailment
478	not_entailment
479	entailment
480	not_entailment
481	entailment
482	entailment
483	entailment
484	not_entailment
485	entailment
486	entailment
487	not_entailment
488	entailment
489	entailment
490	entailment
491	not_entailment
492	not_entailment
493	not_entailment
494	not_entailment
495	entailment
496	not_entailment
497	entailment
498	entailment
499	entailment
500	entailment
501	entailment
502	entailment
503	entailment
504	entailment
505	entailment
506	entailment
507	entailment
508	entailment
509	entailment
510	entailment
511	not_entailment
512	not_entailment
513	not_entailment
514	not_entailment
515	entailment
516	entailment
517	entailment
518	not_entailment
519	not_entailment
520	entailment
521	entailment
522	entailment
523	entailment
524	not_entailment
525	entailment
526	not_entailment
527	entailment
528	not_entailment
529	not_entailment
530	not_entailment
531	entailment
532	not_entailment
533	entailment
534	not_entailment
535	not_entailment
536	entailment
537	entailment
538	entailment
539	not_entailment
540	not_entailment
541	not_entailment
542	entailment
543	not_entailment
544	entailment
545	not_entailment
546	entailment
547	not_entailment
548	not_entailment
549	entailment
550	entailment
551	not_entailment
552	entailment
553	entailment
554	entailment
555	entailment
556	not_entailment
557	entailment
558	entailment
559	entailment
560	entailment
561	not_entailment
562	not_entailment
563	entailment
564	entailment
565	entailment
566	entailment
567	not_entailment
568	not_entailment
569	entailment
570	entailment
571	entailment
572	not_entailment
573	entailment
574	not_entailment
575	entailment
576	entailment
577	entailment
578	not_entailment
579	not_entailment
580	entailment
581	entailment
582	not_entailment
583	entailment
584	entailment
585	not_entailment
586	entailment
587	entailment
588	entailment
589	entailment
590	entailment
591	entailment
592	entailment
593	entailment
594	entailment
595	entailment
596	not_entailment
597	entailment
598	entailment
599	entailment
600	entailment
601	entailment
602	not_entailment
603	not_entailment
604	entailment
605	entailment
606	not_entailment
607	not_entailment
608	entailment
609	entailment
610	entailment
611	not_entailment
612	not_entailment
613	entailment
614	entailment
615	entailment
616	entailment
617	not_entailment
618	entailment
619	entailment
620	entailment
621	not_entailment
622	entailment
623	not_entailment
624	not_entailment
625	entailment
626	not_entailment
627	not_entailment
628	not_entailment
629	entailment
630	entailment
631	entailment
632	entailment
633	entailment
634	entailment
635	not_entailment
636	entailment
637	entailment
638	not_entailment
639	entailment
640	not_entailment
641	entailment
642	not_entailment
643	entailment
644	not_entailment
645	not_entailment
646	entailment
647	entailment
648	entailment
649	entailment
650	not_entailment
651	entailment
652	not_entailment
653	entailment
654	entailment
655	entailment
656	not_entailment
657	entailment
658	not_entailment
659	entailment
660	entailment
661	not_entailment
662	entailment
663	entailment
664	entailment
665	not_entailment
666	entailment
667	entailment
668	entailment
669	entailment
670	entailment
671	not_entailment
672	not_entailment
673	not_entailment
674	not_entailment
675	not_entailment
676	not_entailment
677	not_entailment
678	entailment
679	entailment
680	not_entailment
681	entailment
682	not_entailment
683	entailment
684	not_entailment
685	entailment
686	entailment
687	entailment
688	not_entailment
689	entailment
690	entailment
691	entailment
692	entailment
693	entailment
694	not_entailment
695	entailment
696	entailment
697	not_entailment
698	entailment
699	not_entailment
700	not_entailment
701	not_entailment
702	entailment
703	entailment
